순번,국가명,이전평가등급,현재 등급 
1,Afghanistan,7,7
2,Albania,5,5
3,Algeria,5,5
4,Andorra,,
5,Angola,6,6
6,Antigua and Barbuda,7,7
7,Argentina,7,7
8,Armenia,6,6
9,Aruba,5,5
10,Australia,,
11,Austria,,
12,Azerbaijan,5,5
13,Bahamas,4,4
14,Bahrain,5,6
15,Bangladesh,5,5
16,Barbados,,
17,Belarus,6,6
18,Belgium,,
19,Belize,,
20,Benin,6,6
21,Bhutan,6,6
22,Bolivia,5,5
23,Bosnia and Herzegovina,7,7
24,Botswana,3,3
25,Brazil,5,5
26,Brunei Darussalam,,
27,Bulgaria,3,3
28,Burkina Faso,7,7
29,Burundi,7,7
30,Cabo Verde,6,6
31,Cambodia,6,6
32,Cameroon,6,6
33,Canada,,
34,Central African Republic,7,7
35,Chad,7,7
36,Chile,,
37,China (People’s Republic of),2,2
176,Chinese Taipei,1,1
38,Colombia,4,4
39,Comoros,,
40,Congo,7,7
41,Costa Rica,4,4
42,Cote d’Ivoire,6,6
43,Croatia,4,4
44,Cuba,7,7
45,Curacao,5,5
46,Cyprus,,
47,Czech Republic,,
48,Democratic People's Republic of Korea,7,7
49,Democratic Republic of the Congo,7,7
50,Denmark,,
51,Djibouti,7,7
52,Dominica,,
53,Dominican Republic,4,4
54,Ecuador,7,7
55,Egypt,5,5
56,El Salvador,5,5
57,Equatorial Guinea,7,7
58,Eritrea,7,7
59,Estonia,,
172,Eswantini,6,6
60,Ethiopia,7,7
61,Fiji,5,5
62,Finland,,
64,France,,
65,Gabon,6,6
66,Gambia,7,7
67,Georgia,6,6
68,Germany,,
69,Ghana,6,6
70,Greece,,
71,Grenada,,
72,Guatemala,4,4
73,Guinea,7,7
74,Guinea-Bissau,7,7
75,Guyana,6,6
76,Haiti,7,7
77,Honduras,5,5
78,Hong Kong (China),3,3
79,Hungary,,
80,Iceland,,
81,India,3,3
82,Indonesia,3,3
83,Iran,7,7
84,Iraq,7,7
85,Ireland,,
86,Israel,,
87,Italy,,
88,Jamaica,6,6
89,Japan,,
90,Jordan,5,5
91,Kazakhstan,5,5
92,Kenya,6,6
93,Kiribati,,
94,Korea,,
95,Kosovo,6,6
96,Kuwait,2,2
97,Kyrgyzstan,7,7
98,Lao People’s Democratic Republic,7,7
99,Latvia,,
100,Lebanon,7,7
101,Lesotho,6,6
102,Liberia,7,7
103,Libya,7,7
104,Liechtenstein,,
105,Lithuania,,
106,Luxembourg,,
107,Macau (China),2,2
108,Madagascar,7,7
109,Malawi,7,7
110,Malaysia,2,2
111,Maldives,7,7
112,Mali,7,7
113,Malta,,
114,Marshall Islands,,
115,Mauritania,7,7
116,Mauritius,3,3
117,Mexico,3,3
118,Micronesia,,
119,Moldova,7,7
120,Monaco,,
121,Mongolia,7,7
122,Montenegro,7,7
123,Morocco,3,3
124,Mozambique,7,7
125,Myanmar,6,6
126,Namibia,6,6
127,Nauru,,
128,Nepal,6,6
129,Netherlands,,
130,New Zealand,,
131,Nicaragua,7,7
132,Niger,7,7
133,Nigeria,6,6
63,North Macedonia,5,5
134,Norway,,
135,Oman,5,6
136,Pakistan,7,7
137,Palau,,
138,Panama,4,4
139,Papua New Guinea,6,6
140,Paraguay,5,5
141,Peru,3,3
142,Philippines,3,3
143,Poland,,
144,Portugal,,
145,Qatar,3,3
146,Romania,3,3
147,Russia,4,4
148,Rwanda,6,6
149,Saint Kitts and Nevis,,
150,Saint Lucia,,
151,Saint Vincent and the Grenadines,,
152,Samoa,,
153,San Marino,,
154,Sao Tome and Principe,,
155,Saudi Arabia,2,2
156,Senegal,5,5
157,Serbia,4,4
158,Seychelles,,
159,Sierra Leone,7,7
160,Singapore,0,0
161,Sint Maarten,,
162,Slovak Republic,,
163,Slovenia,,
164,Solomon Islands,,
165,Somalia,7,7
166,South Africa,4,4
167,South Sudan,7,7
168,Spain,,
169,Sri Lanka,6,6
170,Sudan,7,7
171,Suriname,7,7
173,Sweden,,
174,Switzerland,,
175,Syrian Arab Republic,7,7
177,Tajikistan,7,7
178,Tanzania,6,6
179,Thailand,3,3
180,Timor-Leste,6,6
181,Togo,6,6
182,Tonga,,
183,Trinidad and Tobago,3,3
184,Tunisia,6,6
185,Turkey,5,5
186,Turkmenistan,7,7
187,Tuvalu,,
188,Uganda,6,6
189,Ukraine,6,6
190,United Arab Emirates,2,2
191,United Kingdom,,
192,United States,,
193,Uruguay,3,3
194,Uzbekistan,5,5
195,Vanuatu,,
196,Venezuela,7,7
197,Viet Nam,4,4
198,West Bank and Gaza,7,7
199,Yemen,7,7
200,Zambia,7,7
201,Zimbabwe,7,7
